Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
Andy Abad,30,BOS,AL,9,19,17,1,2,0,0,0,0,0,1,2,5,0.11800000000000001,0.21100000000000002,0.11800000000000001,0.32799999999999996,2,1,0,0,0,0
Brent Abernathy,25,KCR,AL,10,30,27,2,2,0,0,0,0,0,0,1,3,0.07400000000000001,0.107,0.07400000000000001,0.18100000000000002,2,2,0,2,0,0
Bobby Abreu,29,PHI,NL,158,695,577,99,173,35,1,20,101,22,9,109,126,0.3,0.409,0.46799999999999997,0.877,270,13,2,0,7,13
Jose Acevedo,25,CIN,NL,5,11,9,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0,1,0,2,0,0
Juan Acevedo,33,NYY,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0
Terry Adams,30,PHI,NL,63,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0
Jeremy Affeldt,24,KCR,AL,3,7,6,0,2,0,0,0,2,0,0,1,1,0.33299999999999996,0.429,0.33299999999999996,0.762,2,0,0,0,0,0
Kurt Ainsworth,24,SFG,NL,12,26,22,0,1,0,0,0,0,0,0,0,7,0.045,0.045,0.045,0.091,1,0,0,4,0,0
Antonio Alfonseca,31,CHC,NL,54,1,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,1,0,0
Edgardo Alfonzo,29,SFG,NL,142,586,514,56,133,25,2,13,81,5,2,58,41,0.259,0.33399999999999996,0.391,0.726,201,14,4,3,7,4
Chad Allen,28,FLA,NL,12,25,24,2,5,1,1,0,0,0,0,0,5,0.20800000000000002,0.24,0.33299999999999996,0.573,8,1,1,0,0,0
Luke Allen,24,COL,NL,2,2,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0
Armando Almanza,30,FLA,NL,48,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0
Edwin Almonte,26,NYM,NL,12,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0
Erick Almonte,25,NYY,AL,31,111,100,17,26,6,0,1,11,1,0,8,24,0.26,0.321,0.35,0.6709999999999999,35,3,1,2,0,0
Hector Almonte,27,MON,NL,28,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0
