playerID,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,nameFirst,nameLast,weight,height,bats,throws,debutGame,finalGame
aardsda01,1981,12,27,USA,CO,Denver,David,Aardsma,215,75,R,R,2004-04-06,2015-08-23
aaronha01,1934,2,5,USA,AL,Mobile,Hank,Aaron,180,72,R,R,1954-04-13,1976-10-03
aaronto01,1939,8,5,USA,AL,Mobile,Tommie,Aaron,190,75,R,R,1962-04-10,1971-09-26
aasedo01,1954,9,8,USA,CA,Orange,Don,Aase,190,75,R,R,1977-07-26,1990-10-03
abadan01,1972,8,25,USA,FL,Palm Beach,Andy,Abad,184,73,L,L,2001-09-10,2006-04-13
abadfe01,1985,12,17,D.R.,La Romana,La Romana,Fernando,Abad,235,74,L,L,2010-07-28,2019-09-28
abadijo01,1850,11,4,USA,PA,Philadelphia,John,Abadie,192,72,R,R,1875-04-26,1875-06-10
abbated01,1877,4,15,USA,PA,Latrobe,Ed,Abbaticchio,170,71,R,R,1897-09-04,1910-09-15
abbeybe01,1869,11,11,USA,VT,Essex,Bert,Abbey,175,71,R,R,1892-06-14,1896-09-23
abbeych01,1866,10,14,USA,NE,Falls City,Charlie,Abbey,169,68,L,L,1893-08-16,1897-08-19
abbotda01,1862,3,16,USA,OH,Portage,Dan,Abbott,190,71,R,R,1890-04-19,1890-05-23
abbotfr01,1874,10,22,USA,OH,Versailles,Fred,Abbott,180,70,R,R,1903-04-25,1905-09-20
abbotgl01,1951,2,16,USA,AR,Little Rock,Glenn,Abbott,200,78,R,R,1973-07-29,1984-08-08
abbotje01,1972,8,17,USA,GA,Atlanta,Jeff,Abbott,190,74,R,L,1997-06-10,2001-09-29
abbotji01,1967,9,19,USA,MI,Flint,Jim,Abbott,200,75,L,L,1989-04-08,1999-07-21
abbotku01,1969,6,2,USA,OH,Zanesville,Kurt,Abbott,180,71,R,R,1993-09-07,2001-04-13
abbotky01,1968,2,18,USA,MA,Newburyport,Kyle,Abbott,200,76,L,L,1991-09-10,1996-08-24
abbotod01,1886,9,5,USA,PA,New Eagle,Ody,Abbott,165,69,L,R,1910-09-10,1910-10-15
abbotpa01,1967,9,15,USA,CA,Van Nuys,Paul,Abbott,185,75,R,R,1990-08-21,2004-08-07
aberal01,1927,7,31,USA,OH,Cleveland,Al,Aber,195,74,L,L,1950-09-15,1957-09-11
abercda01,1850,1,2,USA,OK,Fort Towson,Frank,Abercrombie,,,,,1871-10-21,1871-10-21
abercre01,1980,7,15,USA,GA,Columbus,Reggie,Abercrombie,215,75,R,R,2006-04-04,2008-09-28
abernbi01,1929,1,30,USA,CA,Torrance,Bill,Abernathie,190,70,R,R,1952-09-27,1952-09-27
abernbr01,1977,9,23,USA,GA,Atlanta,Brent,Abernathy,185,73,R,R,2001-06-25,2005-09-29
abernte01,1921,10,30,USA,NC,Bynum,Ted,Abernathy,210,74,R,L,1942-09-19,1944-04-29
abernte02,1933,3,6,USA,NC,Stanley,Ted,Abernathy,215,76,R,R,1955-04-13,1972-09-30
abernwo01,1915,2,1,USA,NC,Forest City,Woody,Abernathy,170,72,L,L,1946-07-28,1947-04-17
aberscl01,1921,8,28,USA,IL,Chicago,Cliff,Aberson,200,72,R,R,1947-07-18,1949-05-09
ablesha01,1883,10,4,USA,TX,Terrell,Harry,Ables,200,74,R,L,1905-09-02,1911-05-05
abnersh01,1966,6,17,USA,OH,Hamilton,Shawn,Abner,190,73,R,R,1987-09-08,1992-10-03
abramca01,1924,3,2,USA,PA,Philadelphia,Cal,Abrams,185,72,L,L,1949-04-19,1956-05-09
abramge01,1899,11,9,USA,WA,Seattle,George,Abrams,170,69,R,R,1923-04-19,1923-05-04
abregjo01,1962,7,4,USA,TX,Corpus Christi,Johnny,Abrego,185,72,R,R,1985-09-04,1985-10-03
abreual01,1995,9,26,D.R.,Monte Cristi,Guayubin,Albert,Abreu,190,74,R,R,2020-08-08,2021-04-13
abreubo01,1974,3,11,Venezuela,Aragua,Maracay,Bobby,Abreu,220,72,L,R,1996-09-01,2014-09-28
abreubr01,1997,4,22,D.R.,Distrito Nacional,Santo Domingo,Bryan,Abreu,225,73,R,R,2019-07-31,2021-04-20
abreujo01,1913,5,24,USA,CA,Oakland,Joe,Abreu,160,68,R,R,1942-04-23,1942-07-11
abreujo02,1987,1,29,Cuba,Cienfuegos,Cienfuegos,Jose,Abreu,235,75,R,R,2014-03-31,2021-04-20
abreuju01,1985,4,8,D.R.,Duarte,San Francisco de Macoris,Juan,Abreu,185,72,R,R,2011-08-29,2011-09-27
abreuto01,1984,11,13,D.R.,Puerto Plata,Puerto Plata,Tony,Abreu,200,70,B,R,2007-05-22,2014-07-28
abreuwi01,1977,4,5,D.R.,Sanchez Ramirez,Cotui,Winston,Abreu,170,74,R,R,2006-08-06,2009-07-25
abstebi01,1883,2,2,USA,MO,St. Louis,Bill,Abstein,185,72,R,R,1906-09-25,1910-06-02
accarje01,1981,12,18,USA,AZ,Phoenix,Jeremy,Accardo,195,72,R,R,2005-05-04,2012-09-27
